id,Country_of_Operator,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Expected_Lifetime,Launch_Site,Launch_Vehicle,longitude_radians_of_geo,Inclination_radians
AAUSat-3,12,0,44,2,,-0.885667683,-0.617670836,-0.185786954,-0.686751658,-0.942361921,,,-1.602765252,13,79,,0.837458264
"ABS-1 (LMI-1, Lockheed Martin-Intersputnik-1)",31,5,4,1,,1.218103922,0.61103217,-0.193636446,0.844315164,0.312182499,0.338323195,0.661640507,1.191373152,0,95,0.695764052,-0.852968638
"ABS-1A (Koreasat 2, Mugunghwa 2, ABS-1A)",31,5,4,1,,1.218584688,0.610856676,-0.194825763,0.844372479,-0.310059739,-0.376137729,-0.470405237,0.19346658,1,29,1.15649117,-0.821258135
"ABS-2i (MBSat, Mobile Broadcasting Satellite, Han Byul)",11,5,4,1,,1.218284209,0.610997071,-0.194032885,0.84433809,0.853771736,0.315276069,0.79226117,0.592629209,1,16,0.695431076,-0.852968638
"ABS-7 (Koreasat 3, Mugungwha 3)",31,5,4,1,,1.218284209,0.610926874,-0.19419146,0.844292238,0.574955179,0.392099824,0.226238298,1.191373152,3,0,1.152495464,-0.852968638
AcrimSat (Active Cavity Radiometer Irradiance Monitor),65,10,38,2,6,-0.891677257,-0.620373443,-0.172783755,-0.688837924,-0.892842713,-0.980740683,-0.816549994,-0.804439993,21,123,,0.82323139
"Advanced Orion 2 (NROL 6, USA 139)",65,15,20,1,,1.205063146,0.618718803,-0.152644654,0.844383942,1.008573464,,,,1,129,-0.297945871,-0.720812976
"Advanced Orion 3 (NROL 19, USA 171)",65,15,20,1,,1.206805923,0.617700938,-0.158115512,0.84433809,1.008573464,,,,1,128,0.921854425,-0.798289447
"Advanced Orion 4 (NRO L-26, USA 202)",65,15,20,1,,1.21431789,0.616051296,-0.174290223,0.847433099,1.225382606,,,,1,34,0.35135638,-0.803603099
"Advanced Orion 5 (NRO L-32, USA 223)",65,15,20,1,,1.201457402,0.600713129,-0.195222202,,1.225382606,,,,1,34,0.982899936,-0.853140046
"Advanced Orion 6 (NRO L-15, USA 237)",65,15,20,1,,1.217743348,0.611418257,-0.19205069,-0.774420668,1.225382606,,,,1,34,0.52894332,-0.853140046
"AEHF-1 (Advanced Extremely High Frequency satellite-1, USA 214)",65,15,4,1,,1.223813017,0.621877693,-0.173576633,0.856099126,1.73228238,,,0.991791838,1,19,-0.902851387,-0.778406105
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",65,15,4,1,,1.21347655,0.607732885,-0.195222202,0.69553691,1.73228238,,,0.991791838,1,19,-1.468909759,-0.503638885
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",65,15,4,1,,1.21347655,0.607732885,-0.195222202,0.69553691,1.73228238,,,0.991791838,1,19,,-0.503638885
Aeneas,65,10,44,2,,-0.903095448,-0.61756554,-0.019758302,-0.690213483,-0.94140796,,,,21,19,,-0.852797229
Aerocube 4.5A,65,5,44,2,,-0.902194012,-0.617530441,-0.027924945,-0.690098853,-0.940757533,,,,21,19,,0.254156424
Aerocube 4.5B,65,5,44,2,,-0.901953629,-0.617495343,-0.029669277,-0.689984223,-0.940757533,,,,21,19,,0.254156424
Aerocube 5A,65,5,44,2,,-0.90531899,-0.614196057,0.054455078,-0.689525703,-0.940540724,,,-1.403183937,21,19,,1.208899665
Aerocube 5B,65,5,44,2,,-0.90531899,-0.614196057,0.054455078,-0.689525703,-0.940540724,,,-1.403183937,21,19,,1.208899665
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M)",42,5,4,1,,1.217322677,0.611523553,-0.191099236,0.844315164,0.557610448,0.203881623,0.705180728,1.191373152,3,7,0.395753115,-0.851083148
"Africasat-1 (Measat 1, Malaysia East Asia Sat 1)",39,5,4,1,,1.218524592,0.610786479,-0.194905051,0.844292238,-0.313962303,-0.491373362,-0.557485679,0.632545472,3,4,0.373887723,-0.833942336
Afristar,65,5,4,1,,1.217683252,0.61131296,-0.192209265,0.844326627,0.229795025,0.184675685,0.378629071,1.191373152,3,4,0.095742177,-0.852625821
"Agila 2/ABS-5 (Agila 2, Mabuhay 1)",31,5,4,1,,1.217623156,0.61131296,-0.192129978,0.844303701,0.694200207,0.392099824,1.140582937,1.191373152,23,70,1.484139075,-0.852283005
AGILE (Astro-rivelatore Gamma a Immagini Leggaro),34,10,37,2,,-0.901292576,-0.626550828,-0.181426125,-0.692849973,-0.801782873,,,-1.203602622,13,89,,-0.810288016
AIM (Aeronomy of Ice in Mesosphere),65,10,16,2,,-0.897686831,-0.624830988,-0.187769149,-0.691589043,-0.849480884,-0.839384973,-0.771703566,-1.403183937,21,93,,0.82323139
AISSat-1 (Automatic Identification System Satellite-1),45,10,23,2,6,-0.894982523,-0.623111147,-0.18554909,-0.690442743,-0.940107106,,,-1.203602622,16,79,,0.826659553
AIST-1,48,0,44,2,,-0.895944055,-0.62332174,-0.179919657,-0.690786633,,,,,12,107,,0.559262882
AIST-2,48,0,44,2,,-0.89840798,-0.624866086,-0.181505412,-0.691749525,-0.919727046,,,-1.203602622,0,105,,0.258955852
Akebono (EXOS-D),35,0,40,0,,-0.916076128,-0.444107367,2.118712932,-0.629459593,,-0.76486593,-0.759947706,-1.602765252,20,77,,0.434134952
ALiCEÌ_Ì_(AFIT LEO iMESA CNT E),65,15,44,2,,-0.90531899,-0.614196057,0.054455078,-0.689525703,-0.940540724,,,,21,19,,1.208899665
